| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|
| 000001 | 上证指数 | 上证综合指数 | 1990-12-19 | 100.0 | 上证系列指数 | 2234 | 3916.33 | 2.52 | 股票 |  | 人民币 | 否 | 是 | 无 | 综合 | 1991-07-15 |
| 000002 | Ａ股指数 | 上证A股指数 | 1990-12-19 | 100.0 | 上证系列指数 | 2192 | 4105.62 | 2.53 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 1992-02-21 |
| 000003 | Ｂ股指数 | 上证B股指数 | 1992-02-21 | 100.0 | 上证系列指数 | 41 | 261.4 | 0.28 | 股票 |  | 美元 | 否 | 否 | 无 | 规模 | 1992-08-17 |
| 000004 | 工业指数 | 上证工业指数 | 1993-04-30 | 1358.78 | 上证系列指数 | 1673 | 3539.66 | 1.5 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 1993-05-03 |
| 000005 | 商业指数 | 上证商业指数 | 1993-04-30 | 1358.78 | 上证系列指数 | 171 | 2908.66 | -0.07 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 1993-05-03 |
| 000006 | 地产指数 | 上证地产指数 | 1993-04-30 | 1358.78 | 上证系列指数 | 23 | 4803.94 | -0.36 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 1993-05-03 |
| 000007 | 公用指数 | 上证公用指数 | 1993-04-30 | 1358.78 | 上证系列指数 | 139 | 4789.46 | 3.77 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 1993-05-03 |
| 000008 | 综合指数 | 上证综合指数 | 1993-04-30 | 1358.78 | 上证系列指数 | 228 | 3572.93 | 5.29 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 1993-05-03 |
| 000009 | 上证380 | 上证380指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 380 | 6459.09 | 0.36 | 股票 |  | 人民币 | 否 | 是 | IOSCO | 规模 | 2010-11-29 |
| 000010 | 上证180 | 上证180指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 180 | 10087.94 | 2.72 | 股票 |  | 人民币 | 否 | 是 | IOSCO | 规模 | 2002-07-01 |
| 000011 | 基金指数 | 上证基金指数 | 2000-05-08 | 1000.0 | 上证系列指数 | 767 | 7138.94 | 0.39 | 基金 |  | 人民币 | 否 | 否 | 无 |  | 2000-06-09 |
| 000012 | 国债指数 | 上证国债指数 | 2002-12-31 | 100.0 | 上证系列指数 | 176 | 224.85 | 0.06 | 固定收益 |  | 人民币 | 否 | 否 | IOSCO | 利率债 | 2003-01-02 |
| 000013 | 企债指数 | 上证企业债指数 | 2002-12-31 | 100.0 | 上证系列指数 | 6718 | 301.44 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2003-06-09 |
| 000015 | 红利指数 | 上证红利指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 50 | 3111.68 | 4.17 | 股票 | 红利/高股息 | 人民币 | 否 | 是 | 无 | 策略 | 2005-01-04 |
